id,wave,mstat,pcnt,kcnt,finhelp,nonfinhelp,guide,caresupport,hhres,interact_f,majong_f,provhelp_f,sport_f,community_f,volunteer_f,sccare_f,course_f,stock_f,scinternet_f,fpamt,fcamt,foamt
10104316001,2013,married,0,1,2,1,2,2,7,4,4,4,4,4,4,4,4,4,4,0,600,0
10104316002,2013,married,0,1,2,2,2,2,7,4,4,4,4,4,4,4,4,4,4,0,600,0
10104317001,2013,married,0,1,1,1,2,1,5,4,3,3,4,4,4,4,4,4,4,0,NA,0
10104317002,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104318001,2013,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,200,0
10104318002,2013,married,0,1,2,2,2,1,3,4,4,4,4,4,4,4,4,4,4,0,200,0
10104319001,2013,married,0,1,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,14000,500
10104319002,2013,married,0,1,2,2,2,1,2,4,4,3,4,4,4,4,4,4,4,0,14000,500
10104320001,2013,married,0,0,2,2,2,1,7,3,4,4,4,4,4,4,4,4,4,0,0,0
10104320002,2013,married,0,0,2,2,1,1,7,3,4,4,4,4,4,4,4,4,4,0,0,0
10104321001,2013,married,0,1,1,2,1,1,6,4,4,4,4,4,4,4,4,4,4,0,0,0
10104321002,2013,married,0,1,NA,NA,NA,1,6,3,4,4,4,4,4,4,4,4,4,0,0,0
10104322001,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,0,500
10104322002,2013,married,0,1,1,2,2,1,5,2,4,4,4,4,4,4,4,4,4,0,0,500
10104323001,2013,widowed,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,3700,0
10104324001,2013,married,0,1,2,2,2,1,3,1,1,1,4,4,4,4,4,4,4,0,450,0
10104324002,2013,married,0,1,2,2,2,1,3,1,4,1,4,4,4,4,4,4,4,0,450,0
10104325001,2013,widowed,0,1,2,2,2,1,5,3,4,4,4,4,4,4,4,4,4,0,80,0
10104326001,2013,widowed,0,1,2,2,2,1,5,3,4,4,4,4,4,4,4,4,4,0,450,50
10104327001,2013,married,0,1,NA,NA,NA,1,6,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104327002,2013,married,0,1,2,2,2,1,6,1,4,4,4,4,4,4,4,4,4,0,NA,0
10104328001,2013,married,0,1,2,2,1,1,6,1,4,4,4,4,4,4,4,4,4,0,NA,100
10104328002,2013,married,0,1,NA,NA,NA,1,6,4,4,4,4,4,4,4,4,4,4,0,NA,100
10104329001,2013,married,0,1,2,2,2,1,6,4,4,4,4,4,4,4,4,4,4,0,45,0
10104329002,2013,married,0,1,2,2,2,1,6,4,4,2,4,4,4,4,4,4,4,0,45,0
10104330001,2013,widowed,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,NA,0
10104331001,2013,married,0,1,2,2,2,1,5,2,3,4,4,4,4,4,4,4,4,NA,0,0
10104331002,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,NA,0,0
10104332001,2013,married,1,1,2,1,2,1,5,2,2,2,4,4,4,4,4,4,4,NA,NA,4100
10104332002,2013,married,1,1,2,2,2,1,5,4,4,2,4,4,4,4,4,4,4,NA,NA,4100
10206101001,2013,married,0,1,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,0,700,31000
10206101002,2013,married,0,1,2,2,2,NA,5,4,4,3,4,4,4,4,4,4,4,0,700,31000
10206102001,2013,married,NA,1,2,1,1,1,9,4,4,4,4,4,4,4,4,4,4,NA,4000,0
10206102002,2013,married,NA,1,2,2,2,1,9,4,4,4,4,4,4,4,4,4,4,NA,4000,0
10206103001,2013,married,0,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10206103002,2013,married,0,1,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,0,0
10206104001,2013,married,0,1,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,0,4000,0
10206104002,2013,married,0,1,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,0,4000,0
10206105001,2013,married,0,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,0,1110,630
10206105002,2013,married,0,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,0,1110,630
10206106001,2013,widowed,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,1800,1000
10206107001,2013,married,0,1,2,2,2,2,7,4,4,4,4,4,4,4,4,4,4,0,2300,0
10206107002,2013,married,0,1,NA,NA,NA,2,7,1,4,3,4,4,4,4,4,4,4,0,2300,0
10206108001,2013,married,1,1,2,2,2,1,4,4,4,3,4,4,4,4,4,4,4,0,0,0
10206108002,2013,married,1,1,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10206109001,2013,married,1,1,2,2,2,1,4,2,4,2,4,4,4,4,4,4,4,0,0,0
10206109002,2013,married,1,1,2,2,2,2,4,3,2,4,4,4,4,4,4,4,4,0,0,0
10206111001,2013,married,1,1,2,2,2,NA,5,1,3,3,4,4,4,4,4,4,4,0,0,0
10206111002,2013,married,1,1,2,2,2,1,5,3,4,4,4,4,4,4,4,4,4,0,0,0
10206112001,2013,widowed,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,1300,0
10206113001,2013,married,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,0,1000,0
10206113002,2013,married,1,1,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,0,1000,0
10206114001,2013,widowed,0,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,NA,700
10206115001,2013,widowed,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,0,5200,110
10206116001,2013,married,1,1,2,2,2,1,7,3,4,4,4,4,4,4,4,4,4,0,1800,10000
10206116002,2013,married,1,1,2,2,2,2,7,4,4,4,4,4,4,4,4,4,4,0,1800,10000
10206117002,2013,separated,0,1,2,2,2,2,4,1,4,4,4,4,4,4,4,4,4,0,300,0
10206117101,2013,separated,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,300,0
10206118001,2013,married,1,1,2,2,1,1,6,4,3,4,4,4,4,4,4,4,4,NA,0,0
10206118002,2013,married,1,1,2,1,2,1,6,4,4,3,4,4,4,4,4,4,4,NA,0,0
10206119001,2013,married,0,1,2,2,2,1,5,4,4,4,4,4,4,4,4,4,4,0,3900,0
10206119002,2013,married,0,1,2,2,2,1,5,4,3,4,4,4,4,4,4,4,4,0,3900,0
10206120001,2013,married,0,1,2,1,1,NA,5,4,4,3,4,4,4,4,4,4,4,NA,0,2000
10206120002,2013,married,0,1,2,2,1,1,5,4,4,4,4,4,4,3,4,4,4,NA,0,2000
